,score,text
34,0,@mxgoldie @KyleKashuv @BarackObama You just proved my point. You're only focus is identity politics. How about his… https://t.co/GEoWAaGBOX
35,0,"RT @Prison4Trump: @realDonaldTrump Oh, how we miss President Obama...legally there’s a way to bring him back. Let’s have the right wing go…"
36,-3,"RT @owillis: democrats: don't want to seem too partisan by saying ""impeach""

republicans: obama wasnt born here. pelosi is a devil worshipp…"
37,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
38,-1,"RT @JacobAWohl: Obama targeted Christian Churches and Conservative Charities with the IRS, but ordered investigations into Hezbollah to be…"
39,2,Freedom Caucus Leader Mark Meadows: Obama Admin Instructed DOJ And FBI To Surveil Donald Trump (Audio) https://t.co/m5STXACshJ
40,-1,Revealed: Mueller's FBI Repeatedly Abused Prosecutorial Discretion https://t.co/eq06F6nQ6P Dir Mueller sat down wit… https://t.co/gQzmm9puWK
41,1,"RT @TheDailyEdge: Barack Obama pens heartfelt, moving, and emotional profile of #Parkland teens #TIME100 https://t.co/1jbgPxOAoV"
42,-1,RT @johnastoehr: 1. Republicans talked a lot about tyranny during the years President Barack Obama was in power. They talked about being “c…
43,1,@TODAYshow Even more than obama? Wow!
44,-1,RT @FiveRights: Obama and Hillary spread their lawlessness through the upper echelons of every agency and institution they touched.
45,0,@kimfrederi @abbydphillip @maggieNYT @PamelaBrownCNN You realize that inspector general is an Obama appointee?
46,0,RT @AHamiltonSpirit: Did anyone post Obama yet...? I bet they did already. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>#OldThingsIWantBack https://t.co/ERTiW8iYOa
47,0,"RT @Trey_VonDinkis: #LeftistSedition #ObamaGate #FISAMemo #ClintonCrimes

.
.
.<ed><U+00A0><U+00BD><ed><U+00B3><U+009C>FISA GATE -  MERKEL &amp; OBAMA MEETING:

House Lawmakers Inves…"
48,-1,RT @true_pundit: ABC News Cuts Comey Criticism of Obama’s Actions During Clinton Investigation https://t.co/p4unOaRfiO
49,-1,"RT @girl4_trump: #Obama was up to his neck in ALL of it. I’m sick of waiting for this #AmericaHating regime to be brought to justice. 
#Wor…"
50,-1,I'm not shaking. Everyone has figured out these anti gun teens including David Hogg who has conflicting stories aro… https://t.co/5HL2YdTazi
51,1,"RT @MarkSimoneNY: Do you remember how Barack Obama was given the Nobel Peqce Prize his first day in office, before doing anything? Donald T…"
52,-1,Anyone that says obama is dumb lmao https://t.co/52uUbg7Do8
53,-1,"RT @johnastoehr: 19. They can’t see that there really is tyranny in this world, that the federal government they all feared during the Obam…"
54,-2,"..”it would double down on #Obama’s worst mistakes, which set the table for the Islamic State’s rise and enriched a… https://t.co/aawLWQcYDR"
55,0,"RT @AP: From tourism boom to sudden slowdown, Havana-based @AP Caribbean News Director @mweissenstein explains Cuba's roller-coaster ride t…"
56,0,RT @happy_daystt: @ARedPillReport Obama turned our Country into this that’s why he was secretly hiding everything and he was a closed Up Pr…
57,-1,RT @Falconeddie1: @hrenee80 This is my all time favorite Obama getting too cocky fail https://t.co/fgdlZGFiS7
58,1,"RT @trumpism_45: PODESTA, HILLARY, AND OBAMA LINKED TO THE DEEP STATE ""WET WORKS"" OF JUSTICE ANTONIN SCALIA FOR NEW JUSTICE SEAT FOR LYNCH.…"
59,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
60,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
61,-1,"no STOP twisting it , THEY DID THIS PURPOSELY TO MAKE PEOPLE KEEP THAT SEED IN THEIR MINDS , RACISM WAS HARDLY BROU… https://t.co/SvfuOaw1be"
62,0,RT @JudicialWatch: JW obtained information showing that the Obama Administration had sent U.S. taxpayer funds overseas to an org backed by…
63,-1,"RT @NatShupe: Stormy Daniels' lawyer, Michael Avenatti, worked for Joe Biden &amp; Rahm Emanuel (Obama's Chief of Staff).

In 2006, he sued the…"
64,0,"RT @nvrggivup: Hillary @realDonaldTrump is the toughest SOB I’ve ever seen...He’s taking on the DNC, RINOS, FBI, DOJ, Media, Obama, Hillary…"
65,0,"RT @ChrisJZullo: President Barack Obama 
President John Kennedy
President Franklin Roosevelt
President Theodore Roosevelt
President Thomas…"
66,0,"RT @Portland_jet: https://t.co/OAE4BsxhV3
Did any Solyndra money go to the Obama or Clinton Foundation?"
67,0,"Headlines you did not see during 8 years of Obama

https://t.co/3u16Bxczbg"
68,0,"RT @LouDobbs: #DraintheSwamp- 11 House Republicans including @RepMattGaetz sign letter demanding Sessions investigate Comey, McCabe &amp; Deep…"
69,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
70,1,"RT @ajplus: Barack Obama wrote a profile about the Parkland students for TIME's list of the 100 most influential people of 2018:

“Our hist…"
71,0,"RT @brianefallon: Reminder: under Obama, Senate Republicans tried to *filibuster* the renewal of the Violence Against Women Act 
https://t.…"
72,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
73,1,"RT @kazweida: Winning is when Barack Obama writes your #TIME100 profile.

""They have the power so often inherent in youth: to see the world…"
74,0,"RT @RedNationRising: For 3 Years Obama Left Flint With POISON Water. The good people of Flint, MI, are now receiving $100 million dollars f…"
75,0,RT @Money___chaserr: I need those Obama gas prices back
76,0,RT @bonniemurphy: @PhilMcCrackin44 @_SierraWhiskee @Hoosiers1986 @bbusa617 @pinkk9lover @alozras411 @GartrellLinda @KatTheHammer1 @GrizzleM…
77,4,"RT @pglynn61: #OldThingsIWantBack
Class
Dignity 
Style
Decorum
Sanity
Competency
Leadership
Diplomacy 
Humanity
Compassion 
Humor
Kindness…"
78,-1,@SaysHummingbird How much <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>must Mara Lago and ALL those weekends (and weeks!) golfing at his wretched establishme… https://t.co/LFOpzfaq
79,0,"RT @MillenPolitics: And President Obama wrote the profile for TIME, to boot. <U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> https://t.co/mKDjAL1bOr"
80,-2,"RT @girl4_trump: Everything leads back to #Obama, the most evil &amp; corrupt illegal president ever to be in the people's house! 
#FBILiesMatt…"
81,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
82,-1,RT @skb_sara: https://t.co/vwejXf2bLY Here’s the COSTLY LENGTHS Obama Used to Keep Information From American People. #ObamaWorstPresidentEv…
83,2,"RT @HarryPotterMAGE: Cuba heads toward a post-Castro future, with or without Trump:
In the space of a year, Trump has set about reversing t…"
84,0,"RT @CNN: Former President Obama: The students of Parkland ""are shaking us out of our complacency"" https://t.co/LAMTGWMIHj https://t.co/krIg…"
85,0,"RT @larryelder: If #StormyDaniels' $140K pay off is possibly an ""illegal campaign contribution,"" what do you call Sen. Barack Obama's real…"
86,-1,@bluepillsheep @CheetoPigeonfar @davidhogg111 @realDonaldTrump @POTUS44 @NRA Was against the banned for bump stocks… https://t.co/3duwvfLZL3
87,1,"RT @Pink_About_it: Obama was emailing with Lisa Page about Hillary’s server--

Wait......I'm old enough to remember when Obama claimed the…"
88,-1,RT @_VachelLindsay_: MASSIVE turning point : Obama in DEEP trouble <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/e4NX0NtAU8
89,0,Dlaczego Obama nie zareagowal na rosyjska ingerencje w amerykanskie wybory? - O SLUZBACH https://t.co/hzvlzRqHHk
90,-1,Yall spent the last decade terrified Bush and Obama were stealing your data but thought giving the full power of th… https://t.co/Ho1taIonrZ
91,0,RT @ScottRickhoff: #Obama #Democrat Holdovers At D.C. Health Department Ditch Ad Campaign Encouraging People to Report Food Stamp Fraud. #D…
92,-1,RT @FiveRights: Obama and Hillary spread their lawlessness through the upper echelons of every agency and institution they touched.
93,0,"RT @jerome_corsi: Rep. DeSantis, Others Demand Probe for Clinton, Obama-Era Politician | https://t.co/2d8Mh4LqX2 https://t.co/LVLqkZfzNJ Co…"
94,0,RT @realDonaldVoter: RT JudicialWatch: Important: Judicial Watch found evidence showing Lois Lerner was actively involved in a lengthy cove…
95,1,"RT @Pink_About_it: Obama was emailing with Lisa Page about Hillary’s server--

Wait......I'm old enough to remember when Obama claimed the…"
96,-1,RT @johnastoehr: 1. Republicans talked a lot about tyranny during the years President Barack Obama was in power. They talked about being “c…
97,0,RT @KyleKashuv: Parkland student rips Obama for essay on shooting survivors https://t.co/9AIuNiDjIG
98,0,@kimfrederi @abbydphillip @maggieNYT @PamelaBrownCNN This is from the IG who isn’t political and was appointed by Obama
99,3,"RT @Janice_Resist: Trump Again Said “There has been nobody tougher on Russia than Him <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
 
Trump is the same Person Who  

Twice canceled s…"
100,1,"RT @kazweida: Winning is when Barack Obama writes your #TIME100 profile.

""They have the power so often inherent in youth: to see the world…"
101,0,"RT @BravenakBlog: If every black, brown, feminist, liberal, etc, ran down and bought 25 AR-15s wearing 'Obama for King' T-shirts, do you th…"
102,-2,"RT @CarlosSimancas: Let's straighten out this fake tweet.

- Governor hates CA citizens

- You omitted the word ""illegal""

- The porn ""star…"
103,-2,"Among other things, the Obama regime was an extortion racket to shake down companies for their political supporters… https://t.co/FyPOKv9ne9"
104,0,RT @ChristiChat: For 8 long years America had to endure weekly Magazine covers telling us how beautiful the very unattractive Michelle Obam…
105,0,RT @BuzzFeed: You won't believe what Obama says in this video <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/n2KloCdF2G
106,1,RT @DavidNakamura: One interesting wrinkle here is that Trump met Duterte in Manila and has invited him to visit WH (even though Obama refu…
107,-1,RT @_VachelLindsay_: MASSIVE turning point : Obama in DEEP trouble <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/e4NX0NtAU8
108,0,"@realDonaldTrump Well just look at the ""CHARADE"" we have in the White House!  You ""pretend"" to want to be president… https://t.co/O1XL2v2BbA"
109,-1,"RT @JacobAWohl: Obama targeted Christian Churches and Conservative Charities with the IRS, but ordered investigations into Hezbollah to be…"
110,1,"RT @kazweida: Winning is when Barack Obama writes your #TIME100 profile.

""They have the power so often inherent in youth: to see the world…"
111,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
112,1,"RT @kazweida: Winning is when Barack Obama writes your #TIME100 profile.

""They have the power so often inherent in youth: to see the world…"
113,-3,"@almostjingo The Obama/Clinton/Podesta/Soros/McAuliffe subversive, Treasonous criminal Cartel &amp; ALL of its operativ… https://t.co/k6SGLmbRno"
114,0,@NoahCRothman We're already on the other side.  Remember when the GOP outright stole Obama's SCOTUS pick?  Trump is… https://t.co/NURajCYawl
115,0,Obama over de volgende generatie in Amerika: https://t.co/gN7wdSkwX3
116,0,RT @DesJarlaisTN04: Good news is food stamp recipients have declined by millions https://t.co/RYNQisTMGZ Unfortunately number still MUCH to…
117,0,RT @JudicialWatch: JW still demanding answers: JW filed a FOIA lawsuit w/ DOJ &amp; the NSA for the truth on the Obama White House role in the…
118,-1,"@girl4_trump @SnappyMcDouglas Obama's gift of words is the gift of deception and illusion. But ""Count it all joy, m… https://t.co/I3QelIsXpQ"
119,-2,RT @Barnett20Todd: Barack Obama’s Huge Mistake Just Turned Into An International Crisis https://t.co/9oMyMGAZJS
120,0,RT @CaseyMalone: Do you guys think Obama knows who Goku is
121,2,"RT @MadWorldNews: Barack Obama Gives Glowing Praise To David Hogg, Kyle Kashuv Destroys Every Word https://t.co/wT3poQ9OKX"
122,-1,"RT @Pappiness: ""They have the power so often inherent in youth: to see the world anew; to reject the old constraints, outdated conventions…"
123,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
124,0,"RT @RedNationRising: For 3 Years Obama Left Flint With POISON Water. The good people of Flint, MI, are now receiving $100 million dollars f…"
125,-1,"RT @TrumpsDC: This is what happens when you let ppl think for themselves.

Obama &amp; his corrupt thugs bullied ppl into thinking sanctuary fo…"
126,-1,"RT @NatShupe: Stormy Daniels' lawyer, Michael Avenatti, worked for Joe Biden &amp; Rahm Emanuel (Obama's Chief of Staff).

In 2006, he sued the…"
127,-1,"RT @KamVTV: Sean Hannity: Obama was EMAILING with Lisa Page about Hillary’s server. 

Remember, Obama went on national tv and LIED to our f…"
128,-1,@thetimsmith @CassieCasanova @realDonaldTrump @netanyahu The fbi should be focused on Hillary and crooked Obama!! T… https://t.co/6sa2ZllFRe
129,4,@TMZ Good for them. Enjoy your hot DC days in your sparkling new pool Obama family! <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>
130,1,@KyleKashuv @BarackObama You are the asinine fool. You aren't good enough to even like President Obama's shoes.
131,1,"RT @hrenee80: The very man who Obama once said “will not be President” is showing him exactly how it’s supposed to be done.

You’re welcome…"
132,1,RT @Bud_Doggin: @girl4_trump All roads lead to Obama. That's why no one has been charged IMO. No one wants to take down Americas 'First Bla…
133,0,"RT @DavidGr78574965: The Supreme Court needs to declare a constitutional crisis, nullify and void the 2016 presidential election. Return pr…"
134,0,RT @tedlieu: I've concluded @realDonaldTrump can say anything &amp; his base will follow. He can say Lester Holt interview never happened &amp; bas…
135,-1,@JohnRJohnson @realDonaldTrump dishonest is what the Obama administration did by inviting them in. purely political… https://t.co/rWnXmWC3ys
136,-1,RT @_VachelLindsay_: MASSIVE turning point : Obama in DEEP trouble <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/e4NX0NtAU8
137,0,@Nice_guy_inc @DebbieVaritek @AFP You are comparing 8 years of Obama's office vs a year and change of Trump's. Noth… https://t.co/yl08117jeq
138,0,"RT @RealJamesWoods: Hey, if any of you went to Columbia University and recall Barack Obama as a student there, would you please respond wit…"
139,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
140,-1,"RT @NAWN24: So, Obama has been reduced to using the gullible children of America to further his agenda because everyone else stopped listen…"
141,0,RT @__xbombshell: I need Obama back. https://t.co/BVvz6NgUDV
142,0,RT @EspressoGik0: someone asked me for a nude so i sent them a really zoomed in picture of Obama drone bombing statistics and said it was j…
143,-1,"RT @FansOfPotus: To all liberals claiming Obama had no scandals.

What do you call: 

-Fast and furious?
-Uranium one?
-Benghazi?
-IRS targ…"
144,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
145,-1,"RT @gal_deplorable: The MSM has been weaponized...do not believe what you've been told.

#WakeUpAmerica
#Obama
#Propaganda
#QAnon https://t…"
146,1,RT @TopSocialMedias: https://t.co/Pgi8OdktLd SEO friendly AUTOBLOG for #WordPress.com https://t.co/cvau2MhfPS | Keywords idea | Blog idea |…
147,-1,RT @Farberyanki: @DanielBShapiro Yes. Only that your administration with Obama did everything possible to harm Israel
148,2,"RT @pollsofpolitics: Who's the better @POTUS #Obama or @realDonaldTrump??

Vote and retweet to spread poll!! #TheResistance #Trump #Resist…"
149,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
150,-1,RT @johnastoehr: 1. Republicans talked a lot about tyranny during the years President Barack Obama was in power. They talked about being “c…
151,0,RT @TyFromTheMil: Winter ain’t last this long when Obama was in office
152,-1,Obama wrote an article for the Parkland kids but told the kids in Baltimore to fall in line.......this nigga ain't… https://t.co/Zu8QYPciRu
153,-1,RT @FiveRights: Obama and Hillary spread their lawlessness through the upper echelons of every agency and institution they touched.
154,0,"RT @CNN: Former President Obama: The students of Parkland ""are shaking us out of our complacency"" https://t.co/LAMTGWMIHj https://t.co/krIg…"
155,0,RT @TravisAllen02: President Obama #OldThingsIWantBack
156,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
157,0,"RT @TheRickyDavila: President Barack Obama on the Parkland survivors: “Our kids now show us what we’ve told them America is all about, even…"
158,-1,"RT @TrumpsDC: This is what happens when you let ppl think for themselves.

Obama &amp; his corrupt thugs bullied ppl into thinking sanctuary fo…"
159,0,"RT @Trey_VonDinkis: #LeftistSedition #ObamaGate #FISAMemo #ClintonCrimes

.
.
.<ed><U+00A0><U+00BD><ed><U+00B3><U+009C>FISA GATE -  MERKEL &amp; OBAMA MEETING:

House Lawmakers Inves…"
160,0,RT @ShaneGoldmacher: This is quite the burn from the executive director of the DLCC to a former top Obama White House speechwriter https://…
161,-1,"RT @RedNationRising: Obama hired Fusion GPS in 2012 to dig up dirt on Mitt Romney, and hid his payments to them through the law firm, Perki…"
162,-3,"McConnell is an evil man, doing evil deeds....The only time he showed strength was in his hatred of Obama....May he… https://t.co/41ZR7hT3Oq"
163,-2,"BREAKING: Congress Has Just Demanded A CRIMINAL INVESTIGATION Into Clinton, Comey, And Other Obama Admin.… https://t.co/xG6zEGLWIP"
164,0,RT @RealJamesWoods: Check the Obama residence. Just sayin’... https://t.co/RuAPAjqOfM
165,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
166,-1,@SaraCarterDC because he is showing us the corruption in our COUNTRY = OUT GOWDY and all hypocrits that just talk .… https://t.co/UScFl7u61t
167,-1,"RT @KamVTV: Sean Hannity: Obama was EMAILING with Lisa Page about Hillary’s server. 

Remember, Obama went on national tv and LIED to our f…"
168,1,Summer fun! The Obamas are reportedly getting a pool: Barack and Michelle Obama have decided they're going… https://t.co/ny95pSbG8Z
169,0,"@djgeorgeff @jaketapper @PamelaBrownCNN The evidence continues to build in your ass, which is where you are pulling… https://t.co/LFzTSPhloT"
170,0,"RT @polishprincessh: This has to STOP! Our nation, all it has endured &amp; all the sacrifices made... are being not only disrespected but remo…"
171,-2,"@theintercept @mehdirhasan This is freaking Western and the Zionist propaganda. You never accused Tony Blair, Georg… https://t.co/i8BjdK2rWB"
172,-1,Why everyone hates Obama's signature trade deal https://t.co/sNIZaBM0fj via @CNNMoney
173,1,"RT @MarkSimoneNY: Do you remember how Barack Obama was given the Nobel Peqce Prize his first day in office, before doing anything? Donald T…"
174,0,https://t.co/rfqWwqPDFo
175,-1,"RT @KamVTV: Sean Hannity: Obama was EMAILING with Lisa Page about Hillary’s server. 

Remember, Obama went on national tv and LIED to our f…"
176,0,RT @JudicialWatch: Reminder: JW obtained documentation showing that the Obama Admin sent U.S. taxpayer funds overseas to a group backed by…
177,0,RT @_America_First: Senator Obama in Ukraine! Chemical Weapons! https://t.co/S4FpVm2B5D
178,-1,"RT @JacobAWohl: Obama targeted Christian Churches and Conservative Charities with the IRS, but ordered investigations into Hezbollah to be…"
179,1,"RT @hrenee80: The very man who Obama once said “will not be President” is showing him exactly how it’s supposed to be done.

You’re welcome…"
180,0,"""The Parkland students are shaking us out of our complacency,"" President Barack Obama wrote for #Time100.… https://t.co/wzqgA9ZpiQ"
181,0,"RT @RedNationRising: For 3 Years Obama Left Flint With POISON Water. The good people of Flint, MI, are now receiving $100 million dollars f…"
182,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
183,0,"RT @Bahamajoe0: Obama, HRC ,Susan Rice, Clapper, Comey Brennan,Ben Rhodes &amp; UN.Samantha Powers who Single handedly Unmasked 100s of Mostly…"
184,1,"RT @hrenee80: Liberal: “Look at Trump’s dumb Deplorables praising him because they think he is saving the world”

If Obama hadn’t been such…"
185,1,"RT @securefreedom: Just precious: Samantha Power 'fearful' Trump administration 'has no strategy besides tweeting and bombing'

Samantha th…"
186,1,"@TRANNYLOVEE1 @JaneEhlers222 @Kegan05 @PalmerReport And how, pray tell did Obama improve the economy? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><"
187,0,"RT @Portland_jet: https://t.co/OAE4BsxhV3
Did any Solyndra money go to the Obama or Clinton Foundation?"
188,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
189,0,@SarahKSilverman Just tell him that Obama wants Puerto Rico to have no power.
190,0,RT @COUNTRYMOMCAT: @bkohatl @politico Obama was working on closing private prisons. It can be done.
191,0,"RT @kylegriffin1: Barack Obama praises the Parkland survivors: “Our kids now show us what we’ve told them America is all about, even if we…"
192,0,RT @TravisAllen02: President Obama #OldThingsIWantBack
193,0,"RT @battletested5: Sean Hannity is asking for privacy yall

He wasn't thinking of privacy when he:

1) Attacked Sasha &amp; Malia for Spring Br…"
194,-1,"RT @AmericanHotLips: #Brennan exposes BHO for the coward he was/is: 

Brennan: #Obama opposed a plan to carry out “a cyber event” against t…"
195,-2,RT @Barnett20Todd: Barack Obama’s Huge Mistake Just Turned Into An International Crisis https://t.co/9oMyMGAZJS
196,2,"RT @pollsofpolitics: Who's the better @POTUS #Obama or @realDonaldTrump??

Vote and retweet to spread poll!! #TheResistance #Trump #Resist…"
197,-2,"@BradFinken1 @Commodog11 @hrenee80 Obama revesed Bush's recession, created 18 million jobs, had OBL killed, more hi… https://t.co/Fn4rnXVboB"
198,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
199,0,RT @JudicialWatch: JW still demanding answers: JW filed a FOIA lawsuit w/ DOJ &amp; the NSA for the truth on the Obama White House role in the…
200,0,"Lol, Obama #Splatoon2 #NintendoSwitch https://t.co/0bFxWDlzO8"
201,-3,"RT @owillis: democrats: don't want to seem too partisan by saying ""impeach""

republicans: obama wasnt born here. pelosi is a devil worshipp…"
202,0,"RT @_VachelLindsay_: 1.     It’s now undeniable that at least James Comey, Hillary Clinton, Loretta Lynch &amp; Barack Obama are in deep troubl…"
203,1,@PalmerReport Enjoy Obama’s legacy https://t.co/pA0xGvsTaW
204,1,"@prodigis @Phylan https://t.co/mSuDNtXBlh

It's extremely ""trust the main stream media, such as NYT who never found… https://t.co/TViTI3hrEW"
205,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
206,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
207,1,"RT @Pink_About_it: Obama was emailing with Lisa Page about Hillary’s server--

Wait......I'm old enough to remember when Obama claimed the…"
208,0,"RT @LouDobbs: #DraintheSwamp- 11 House Republicans including @RepMattGaetz sign letter demanding Sessions investigate Comey, McCabe &amp; Deep…"
209,0,@LizYerian @Steve342423 @DLoesch @ChrisLoesch @MichelleBeale17 @2isaac31 @KyleKashuv @davidhogg111 Obama interfered… https://t.co/nXqyRsokMC
210,0,"RT @davidhogg111: Thanks, Obama.  https://t.co/ydeXa3TFhg"
211,0,RT @JudicialWatch: JW filed a FOIA lawsuit w/ both the Justice Dept &amp; State Dept for any records of communications related to the Uranium O…
212,-1,RT @SharonC19471948: @Pickles0201 @TrumpTrainMRA4 @AdamSchiffCA Go ahead I wish we had it when Obama was in office .God forbid if we ever h…
213,1,@Rosie But you were OK with Hillary selling 20% of our uranium for her profit correct? If there is any Russian Amer… https://t.co/uNXPJSv1Pk
214,1,"@ChrisMurphyCT @JeffMerkley 2008 Obama took office, ER wait times were 10 min, care excellent. Within 3 months, wai… https://t.co/anH7usq6B9"
215,2,"RT @TalbertSwan: “... you seem fully proud right now to be associated with a three-time married, serial adulterer and confessed predator; a…"
216,0,"RT @pennysmagic1: When will #Obama and #Hillory pay for their crimes against #America

This has to end ! I Can’t take much more 

#TheFinal…"
